X	U2_1D40N10F	U2_1D40N20F	U2_1D40N50F	U2_1D40N100F
				
0	1.17E-35	1.17E-35	1.17E-35	1.17E-35
5	1.67E-02	2.13E-02	2.21E-02	2.22E-02
10	3.33E-02	4.27E-02	4.41E-02	4.42E-02
11.25	3.75E-02	4.80E-02	4.97E-02	4.96E-02
15	5.00E-02	6.40E-02	6.55E-02	6.59E-02
20	6.67E-02	8.54E-02	8.67E-02	8.70E-02
22.5	7.50E-02	9.60E-02	9.72E-02	9.71E-02
25	8.34E-02	1.07E-01	1.07E-01	1.07E-01
27	9.00E-02	1.15E-01	1.15E-01	1.15E-01
30	1.00E-01	1.25E-01	1.26E-01	1.27E-01
33.75	1.13E-01	1.37E-01	1.41E-01	1.41E-01
35	1.17E-01	1.41E-01	1.45E-01	1.45E-01
40	1.33E-01	1.57E-01	1.61E-01	1.62E-01
45	1.50E-01	1.73E-01	1.78E-01	1.78E-01
50	1.67E-01	1.89E-01	1.91E-01	1.92E-01
54	1.80E-01	2.02E-01	2.01E-01	2.01E-01
55	1.83E-01	2.03E-01	2.03E-01	2.04E-01
56.25	1.88E-01	2.04E-01	2.07E-01	2.06E-01
60	2.00E-01	2.08E-01	2.13E-01	2.14E-01
65	2.17E-01	2.13E-01	2.21E-01	2.22E-01
67.5	2.25E-01	2.16E-01	2.25E-01	2.25E-01
70	2.17E-01	2.19E-01	2.26E-01	2.28E-01
75	2.00E-01	2.24E-01	2.29E-01	2.31E-01
78.75	1.88E-01	2.28E-01	2.31E-01	2.31E-01
80	1.83E-01	2.29E-01	2.30E-01	2.31E-01
81	1.80E-01	2.30E-01	2.29E-01	2.30E-01
85	1.67E-01	2.22E-01	2.26E-01	2.28E-01
90	1.50E-01	2.11E-01	2.22E-01	2.22E-01
95	1.33E-01	2.01E-01	2.11E-01	2.13E-01
100	1.17E-01	1.90E-01	2.00E-01	2.01E-01
101.25	1.13E-01	1.87E-01	1.97E-01	1.97E-01
105	1.00E-01	1.79E-01	1.82E-01	1.84E-01
108	9.00E-02	1.73E-01	1.70E-01	1.72E-01
110	8.34E-02	1.60E-01	1.63E-01	1.64E-01
112.5	7.50E-02	1.44E-01	1.53E-01	1.52E-01
115	6.67E-02	1.28E-01	1.38E-01	1.40E-01
120	5.00E-02	9.60E-02	1.10E-01	1.12E-01
123.75	3.75E-02	7.20E-02	8.79E-02	8.74E-02
125	3.33E-02	6.40E-02	7.81E-02	7.93E-02
130	1.67E-02	3.20E-02	3.91E-02	4.20E-02
135	-2.53E-35	-2.53E-35	-2.53E-35	-2.53E-35
140	-6.73E-02	-5.70E-02	-4.97E-02	-4.69E-02
145	-1.35E-01	-1.14E-01	-9.94E-02	-9.85E-02
146	-1.48E-01	-1.25E-01	-1.09E-01	-1.10E-01
150	-2.02E-01	-1.71E-01	-1.57E-01	-1.55E-01
155	-2.69E-01	-2.28E-01	-2.17E-01	-2.15E-01
157	-2.96E-01	-2.51E-01	-2.40E-01	-2.41E-01
160	-3.37E-01	-2.85E-01	-2.81E-01	-2.80E-01
162.5	-3.70E-01	-3.13E-01	-3.16E-01	-3.14E-01
165	-4.04E-01	-3.52E-01	-3.50E-01	-3.48E-01
168	-4.44E-01	-3.99E-01	-3.91E-01	-3.91E-01
170	-4.71E-01	-4.30E-01	-4.21E-01	-4.20E-01
175	-5.39E-01	-5.08E-01	-4.97E-01	-4.96E-01
179	-5.93E-01	-5.70E-01	-5.58E-01	-5.59E-01
180	-6.06E-01	-5.85E-01	-5.75E-01	-5.74E-01
185	-6.73E-01	-6.63E-01	-6.58E-01	-6.56E-01
190	-7.41E-01	-7.41E-01	-7.41E-01	-7.41E-01
195	-8.37E-01	-8.33E-01	-8.29E-01	-8.28E-01
200	-9.33E-01	-9.25E-01	-9.18E-01	-9.17E-01
201	-9.52E-01	-9.43E-01	-9.36E-01	-9.36E-01
205	-1.02852	-1.01671	-1.01029	-1.00922
210	-1.12447	-1.10872	-1.1036	-1.10294
212	-1.16284	-1.14552	-1.14093	-1.14113
215	-1.22041	-1.20073	-1.19911	-1.19841
217.5	-1.26838	-1.24673	-1.2476	-1.24691
220	-1.31635	-1.29667	-1.29608	-1.29541
223	-1.37392	-1.3566	-1.35427	-1.35441
225	-1.4123	-1.39655	-1.39411	-1.39375
230	-1.50824	-1.49643	-1.49372	-1.49319
234	-1.585	-1.57634	-1.5734	-1.57347
235	-1.60418	-1.59631	-1.59365	-1.59353
240	-1.70013	-1.69619	-1.69486	-1.69457
245	-1.79607	-1.79607	-1.79607	-1.79607
250	-1.8949	-1.89739	-1.89786	-1.89784
255	-1.99372	-1.99871	-1.99965	-1.99966
256	-2.01349	-2.01898	-2.02001	-2.01999
260	-2.09255	-2.10003	-2.10108	-2.10131
265	-2.19137	-2.20135	-2.20241	-2.20259
267	-2.2309	-2.24188	-2.24295	-2.24286
270	-2.2902	-2.30267	-2.30286	-2.30328
272.5	-2.33961	-2.35333	-2.35279	-2.35322
275	-2.38902	-2.4015	-2.40271	-2.40316
278	-2.44832	-2.4593	-2.46262	-2.46249
280	-2.48785	-2.49783	-2.50156	-2.50204
285	-2.58667	-2.59416	-2.59891	-2.59969
289	-2.66573	-2.67122	-2.67678	-2.67665
290	-2.6855	-2.69049	-2.69554	-2.6959
295	-2.78432	-2.78682	-2.78934	-2.79045
300	-2.88315	-2.88315	-2.88315	-2.88315
305	-2.95913	-2.96805	-2.97238	-2.97376
310	-3.03511	-3.05296	-3.06161	-3.06209
311	-3.0503	-3.06994	-3.07946	-3.07925
315	-3.11109	-3.13787	-3.14637	-3.14791
320	-3.18707	-3.22277	-3.23001	-3.23102
322	-3.21746	-3.25674	-3.26346	-3.2631
325	-3.26305	-3.30768	-3.30967	-3.31121
327.5	-3.30104	-3.35013	-3.34817	-3.34973
330	-3.33903	-3.38366	-3.38668	-3.38825
333	-3.38461	-3.42389	-3.43288	-3.43246
335	-3.415	-3.45071	-3.46062	-3.46194
340	-3.49098	-3.51777	-3.52997	-3.53207
344	-3.55177	-3.57141	-3.58546	-3.58514
345	-3.56696	-3.58482	-3.59759	-3.59841
350	-3.64294	-3.65187	-3.65826	-3.66077
355	-3.71892	-3.71892	-3.71892	-3.71892
360	-3.74633	-3.76169	-3.76988	-3.77266
365	-3.77374	-3.80446	-3.82083	-3.82177
366	-3.77922	-3.81301	-3.83102	-3.83063
370	-3.80115	-3.84722	-3.86319	-3.86604
375	-3.82855	-3.88999	-3.9034	-3.90526
377	-3.83952	-3.9071	-3.91948	-3.91884
380	-3.85596	-3.93276	-3.93654	-3.93921
382.5	-3.86967	-3.95414	-3.95076	-3.95344
385	-3.88337	-3.96016	-3.96498	-3.96768
388	-3.89981	-3.96739	-3.98204	-3.98134
390	-3.91078	-3.97221	-3.98829	-3.99046
395	-3.93818	-3.98426	-4.00393	-4.00733
399	-3.96011	-3.9939	-4.01644	-4.01594
400	-3.96559	-3.99631	-4.0168	-4.01809
405	-3.993	-4.00836	-4.0186	-4.02252
410	-4.02041	-4.02041	-4.02041	-4.02041
415	-3.97352	-3.99531	-4.00735	-4.01154
420	-3.92662	-3.97021	-3.9943	-3.99571
421	-3.91725	-3.96519	-3.99168	-3.9911
425	-3.87973	-3.9451	-3.96853	-3.97269
430	-3.83284	-3.92	-3.93959	-3.94229
432	-3.81409	-3.90996	-3.92801	-3.92708
435	-3.78595	-3.8949	-3.90049	-3.90428
437.5	-3.7625	-3.88235	-3.87756	-3.88136
440	-3.73906	-3.84801	-3.85463	-3.85845
443	-3.71092	-3.8068	-3.82711	-3.82613
445	-3.69217	-3.77933	-3.80159	-3.80459
450	-3.64528	-3.71065	-3.73778	-3.74249
454	-3.60776	-3.6557	-3.68673	-3.68604
455	-3.59839	-3.64197	-3.67017	-3.67193
460	-3.55149	-3.57328	-3.58739	-3.59271
465	-3.5046	-3.5046	-3.5046	-3.5046
470	-3.37031	-3.38906	-3.40232	-3.40751
475	-3.23602	-3.27352	-3.30003	-3.30173
476	-3.20916	-3.25042	-3.27957	-3.27893
480	-3.10172	-3.15799	-3.18334	-3.18769
485	-2.96743	-3.04245	-3.06305	-3.0658
487	-2.91371	-2.99623	-3.01494	-3.01407
490	-2.83313	-2.92691	-2.93316	-2.93647
492.5	-2.76599	-2.86914	-2.86501	-2.86829
495	-2.69884	-2.79261	-2.79687	-2.80011
498	-2.61826	-2.70079	-2.71509	-2.71432
500	-2.56455	-2.63957	-2.65497	-2.65713
505	-2.43025	-2.48652	-2.50467	-2.50796
509	-2.32282	-2.36408	-2.38443	-2.38399
510	-2.29596	-2.33347	-2.35197	-2.353
515	-2.16167	-2.18042	-2.18967	-2.19267
520	-2.02737	-2.02737	-2.02737	-2.02737
525	-1.84307	-1.84932	-1.85507	-1.85753
530	-1.65876	-1.67126	-1.68276	-1.68356
531	-1.6219	-1.63565	-1.6483	-1.64802
535	-1.47445	-1.49321	-1.50406	-1.50587
540	-1.29015	-1.31515	-1.32375	-1.32487
542	-1.21642	-1.24393	-1.25163	-1.25131
545	-1.10584	-1.1371	-1.13985	-1.14097
547.5	-1.01369	-1.04807	-1.04669	-1.04779
550	-9.22E-01	-9.53E-01	-9.54E-01	-9.55E-01
553	-8.11E-01	-8.38E-01	-8.42E-01	-8.42E-01
555	-7.37E-01	-7.62E-01	-7.66E-01	-7.66E-01
560	-5.53E-01	-5.72E-01	-5.75E-01	-5.76E-01
564	-4.05E-01	-4.19E-01	-4.23E-01	-4.23E-01
565	-3.69E-01	-3.81E-01	-3.85E-01	-3.85E-01
570	-1.84E-01	-1.91E-01	-1.92E-01	-1.93E-01
575	-2.64E-35	-2.64E-35	-2.64E-35	-2.64E-35
