
                  X             E11_1D40N10F       E11_1D40N20F       E11_1D40N50F      E11_1D40N100F  

                0.                 1.81899E-12      909.495E-15        454.747E-15        113.687E-15  
                5.               -10.7572E-06       -10.7572E-06       -10.7572E-06       -10.7572E-06 
               10.               -21.5144E-06       -21.5144E-06       -21.5144E-06       -21.5144E-06 
               11.25             -24.2037E-06       -24.2037E-06       -24.2037E-06       -24.2037E-06 
               15.               -32.2716E-06       -32.2716E-06       -32.2716E-06       -32.2716E-06 
               20.               -43.0289E-06       -43.0289E-06       -43.0289E-06       -43.0289E-06 
               22.5              -48.4075E-06       -48.4075E-06       -48.4075E-06       -48.4075E-06 
               25.               -53.7861E-06       -53.7861E-06       -53.7861E-06       -53.7861E-06 
               27.               -58.089E-06        -58.089E-06        -58.089E-06        -58.089E-06  
               30.               -64.5433E-06       -64.5433E-06       -64.5433E-06       -64.5433E-06 
               33.75             -72.6112E-06       -72.6112E-06       -72.6112E-06       -72.6112E-06 
               35.               -75.3005E-06       -75.3005E-06       -75.3005E-06       -75.3005E-06 
               40.               -86.0577E-06       -86.0577E-06       -86.0577E-06       -86.0577E-06 
               45.               -96.815E-06        -96.8149E-06       -96.8149E-06       -96.8149E-06 
               50.              -107.572E-06       -107.572E-06       -107.572E-06       -107.572E-06  
               54.              -116.178E-06       -116.178E-06       -116.178E-06       -116.178E-06  
               55.              -118.329E-06       -118.329E-06       -118.329E-06       -118.329E-06  
               56.25            -121.019E-06       -121.019E-06       -121.019E-06       -121.019E-06  
               60.              -129.087E-06       -129.087E-06       -129.087E-06       -129.087E-06  
               65.              -139.844E-06       -139.844E-06       -139.844E-06       -139.844E-06  
               67.5             -145.222E-06       -145.222E-06       -145.222E-06       -145.222E-06  
               70.              -150.601E-06       -150.601E-06       -150.601E-06       -150.601E-06  
               75.              -161.358E-06       -161.358E-06       -161.358E-06       -161.358E-06  
               78.75            -169.426E-06       -169.426E-06       -169.426E-06       -169.426E-06  
               80.              -172.115E-06       -172.115E-06       -172.115E-06       -172.115E-06  
               81.              -174.267E-06       -174.267E-06       -174.267E-06       -174.267E-06  
               85.              -182.873E-06       -182.873E-06       -182.873E-06       -182.873E-06  
               90.              -193.63E-06        -193.63E-06        -193.63E-06        -193.63E-06   
               95.              -204.387E-06       -204.387E-06       -204.387E-06       -204.387E-06  
              100.              -215.144E-06       -215.144E-06       -215.144E-06       -215.144E-06  
              101.25            -217.834E-06       -217.834E-06       -217.834E-06       -217.834E-06  
              105.              -225.902E-06       -225.902E-06       -225.902E-06       -225.902E-06  
              108.              -232.356E-06       -232.356E-06       -232.356E-06       -232.356E-06  
              110.              -236.659E-06       -236.659E-06       -236.659E-06       -236.659E-06  
              112.5             -242.037E-06       -242.037E-06       -242.037E-06       -242.037E-06  
              115.              -247.416E-06       -247.416E-06       -247.416E-06       -247.416E-06  
              120.              -258.173E-06       -258.173E-06       -258.173E-06       -258.173E-06  
              123.75            -266.241E-06       -266.241E-06       -266.241E-06       -266.241E-06  
              125.              -268.93E-06        -268.93E-06        -268.93E-06        -268.93E-06   
              130.              -279.688E-06       -279.688E-06       -279.688E-06       -279.688E-06  
              135.              -290.445E-06       -290.445E-06       -290.445E-06       -290.445E-06  
              140.              -277.943E-06       -277.943E-06       -277.943E-06       -277.943E-06  
              145.              -265.441E-06       -265.441E-06       -265.441E-06       -265.441E-06  
              146.              -262.941E-06       -262.941E-06       -262.941E-06       -262.941E-06  
              150.              -252.939E-06       -252.939E-06       -252.939E-06       -252.939E-06  
              155.              -240.437E-06       -240.437E-06       -240.437E-06       -240.437E-06  
              157.              -235.436E-06       -235.436E-06       -235.436E-06       -235.436E-06  
              160.              -227.935E-06       -227.935E-06       -227.935E-06       -227.935E-06  
              162.5             -221.684E-06       -221.684E-06       -221.684E-06       -221.684E-06  
              165.              -215.433E-06       -215.433E-06       -215.433E-06       -215.433E-06  
              168.              -207.932E-06       -207.932E-06       -207.932E-06       -207.932E-06  
              170.              -202.931E-06       -202.931E-06       -202.931E-06       -202.931E-06  
              175.              -190.429E-06       -190.429E-06       -190.429E-06       -190.429E-06  
              179.              -180.428E-06       -180.428E-06       -180.428E-06       -180.428E-06  
              180.              -177.927E-06       -177.927E-06       -177.927E-06       -177.927E-06  
              185.              -165.426E-06       -165.426E-06       -165.426E-06       -165.426E-06  
              190.              -152.924E-06       -152.924E-06       -152.924E-06       -152.924E-06  
              195.              -140.422E-06       -140.422E-06       -140.422E-06       -140.422E-06  
              200.              -127.92E-06        -127.92E-06        -127.92E-06        -127.92E-06   
              201.              -125.419E-06       -125.419E-06       -125.419E-06       -125.419E-06  
              205.              -115.418E-06       -115.418E-06       -115.418E-06       -115.418E-06  
              210.              -102.916E-06       -102.916E-06       -102.916E-06       -102.916E-06  
              212.               -97.9151E-06       -97.9151E-06       -97.9151E-06       -97.9151E-06 
              215.               -90.414E-06        -90.414E-06        -90.414E-06        -90.414E-06  
              217.5              -84.163E-06        -84.163E-06        -84.163E-06        -84.163E-06  
              220.               -77.912E-06        -77.912E-06        -77.912E-06        -77.912E-06  
              223.               -70.4109E-06       -70.4109E-06       -70.4109E-06       -70.4109E-06 
              225.               -65.4101E-06       -65.4101E-06       -65.4101E-06       -65.4101E-06 
              230.               -52.9082E-06       -52.9082E-06       -52.9082E-06       -52.9082E-06 
              234.               -42.9066E-06       -42.9066E-06       -42.9066E-06       -42.9066E-06 
              235.               -40.4062E-06       -40.4062E-06       -40.4062E-06       -40.4062E-06 
              240.               -27.9043E-06       -27.9043E-06       -27.9043E-06       -27.9043E-06 
              245.               -15.4024E-06       -15.4024E-06       -15.4024E-06       -15.4024E-06 
              250.                -2.90045E-06       -2.90045E-06       -2.90045E-06       -2.90045E-06
