X	E33_3D40N1F	E33_3D40N2F	E33_3D40N3F	E33_3D40N4F	E33_3D40N5F
					
0	-3.45E-07	9.51E-07	6.38E-07	7.25E-07	5.77E-07
5.87E-01	NoValue	NoValue	NoValue	NoValue	8.64E-07
7.34E-01	NoValue	NoValue	NoValue	1.15E-06	NoValue
9.78E-01	NoValue	NoValue	1.24E-06	NoValue	NoValue
1.17391	NoValue	NoValue	NoValue	NoValue	1.79E-06
1.46739	NoValue	2.10E-06	NoValue	2.13E-06	NoValue
1.76087	NoValue	NoValue	NoValue	NoValue	2.86E-06
1.95652	NoValue	NoValue	2.99E-06	NoValue	NoValue
2.20109	NoValue	NoValue	NoValue	3.63E-06	NoValue
2.34783	NoValue	NoValue	NoValue	NoValue	4.08E-06
2.93478	3.94E-09	4.22E-06	4.80E-06	5.09E-06	5.28E-06
3.52174	NoValue	NoValue	NoValue	NoValue	6.34E-06
3.66848	NoValue	NoValue	NoValue	6.34E-06	NoValue
3.91304	NoValue	NoValue	6.35E-06	NoValue	NoValue
4.1087	NoValue	NoValue	NoValue	NoValue	7.47E-06
4.40217	NoValue	6.34E-06	NoValue	7.69E-06	NoValue
4.69565	NoValue	NoValue	NoValue	NoValue	8.52E-06
4.8913	NoValue	NoValue	8.01E-06	NoValue	NoValue
5.13587	NoValue	NoValue	NoValue	8.95E-06	NoValue
5.28261	NoValue	NoValue	NoValue	NoValue	9.62E-06
5.86957	3.02E-09	8.55E-06	9.58E-06	1.03E-05	1.07E-05
6.45652	NoValue	NoValue	NoValue	NoValue	1.17E-05
6.60326	NoValue	NoValue	NoValue	1.15E-05	NoValue
6.84783	NoValue	NoValue	1.12E-05	NoValue	NoValue
7.04348	NoValue	NoValue	NoValue	NoValue	1.28E-05
7.33696	NoValue	1.06E-05	NoValue	1.28E-05	NoValue
7.63043	NoValue	NoValue	NoValue	NoValue	1.39E-05
7.82609	NoValue	NoValue	1.28E-05	NoValue	NoValue
8.07065	NoValue	NoValue	NoValue	1.40E-05	NoValue
8.21739	NoValue	NoValue	NoValue	NoValue	1.49E-05
8.80435	-5.04E-08	1.27E-05	1.43E-05	1.53E-05	1.60E-05
9.3913	NoValue	NoValue	NoValue	NoValue	1.70E-05
9.53804	NoValue	NoValue	NoValue	1.66E-05	NoValue
9.78261	NoValue	NoValue	1.59E-05	NoValue	NoValue
9.97826	NoValue	NoValue	NoValue	NoValue	1.80E-05
10.2717	NoValue	1.48E-05	NoValue	1.78E-05	NoValue
10.5652	NoValue	NoValue	NoValue	NoValue	1.91E-05
10.7609	NoValue	NoValue	1.75E-05	NoValue	NoValue
11.0054	NoValue	NoValue	NoValue	1.91E-05	NoValue
11.1522	NoValue	NoValue	NoValue	NoValue	2.01E-05
11.7391	-6.19E-09	1.69E-05	1.91E-05	2.03E-05	2.12E-05
12.3261	NoValue	NoValue	NoValue	NoValue	2.22E-05
12.4728	NoValue	NoValue	NoValue	2.16E-05	NoValue
12.7174	NoValue	NoValue	2.06E-05	NoValue	NoValue
12.913	NoValue	NoValue	NoValue	NoValue	2.33E-05
13.2065	NoValue	1.90E-05	NoValue	2.28E-05	NoValue
13.5	NoValue	NoValue	NoValue	NoValue	2.43E-05
13.6957	NoValue	NoValue	2.22E-05	NoValue	NoValue
13.9402	NoValue	NoValue	NoValue	2.41E-05	NoValue
14.087	NoValue	NoValue	NoValue	NoValue	2.54E-05
14.6739	-2.34E-08	2.11E-05	2.38E-05	2.54E-05	2.64E-05
15.2609	NoValue	NoValue	NoValue	NoValue	2.75E-05
15.4076	NoValue	NoValue	NoValue	2.66E-05	NoValue
15.6522	NoValue	NoValue	2.53E-05	NoValue	NoValue
15.8478	NoValue	NoValue	NoValue	NoValue	2.85E-05
16.1413	NoValue	2.32E-05	NoValue	2.79E-05	NoValue
16.4348	NoValue	NoValue	NoValue	NoValue	2.96E-05
16.6304	NoValue	NoValue	2.69E-05	NoValue	NoValue
16.875	NoValue	NoValue	NoValue	2.91E-05	NoValue
17.0217	NoValue	NoValue	NoValue	NoValue	3.06E-05
17.6087	6.25E-09	2.52E-05	2.85E-05	3.04E-05	3.17E-05
