
                  X             E33_3D40N1F        E33_3D40N2F        E33_3D40N3F        E33_3D40N4F        E33_3D40N5F   

                0.              -345.091E-09        951.164E-09        637.843E-09        725.234E-09        576.876E-09  
              586.956E-03       -275.285E-09          1.40937E-06        1.00065E-06        1.06247E-06      864.258E-09  
              733.696E-03       -257.834E-09          1.52393E-06        1.09135E-06        1.14678E-06        1.09477E-06
              978.261E-03       -228.748E-09          1.71485E-06        1.24252E-06        1.47373E-06        1.47897E-06
                1.17391         -205.479E-09          1.86758E-06        1.59301E-06        1.7353E-06         1.78632E-06
                1.46739         -170.576E-09          2.09669E-06        2.11875E-06        2.12764E-06        2.32265E-06
                1.76087         -135.673E-09          2.52211E-06        2.6445E-06         2.73045E-06        2.85899E-06
                1.95652         -112.404E-09          2.80572E-06        2.99499E-06        3.13232E-06        3.2656E-06 
                2.20109          -83.3185E-09         3.16024E-06        3.44601E-06        3.63466E-06        3.77386E-06
                2.34783          -65.867E-09          3.37295E-06        3.71662E-06        3.92601E-06        4.07882E-06
                2.93478            3.93901E-09        4.22379E-06        4.79908E-06        5.09141E-06        5.28397E-06
                3.52174            3.75554E-09        5.07215E-06        5.72716E-06        6.09354E-06        6.34335E-06
                3.66848            3.70968E-09        5.28424E-06        5.95918E-06        6.34407E-06        6.626E-06  
                3.91304            3.63323E-09        5.63772E-06        6.34588E-06        6.79311E-06        7.09708E-06
                4.1087             3.57208E-09        5.9205E-06         6.679E-06          7.15234E-06        7.47395E-06
                4.40217            3.48035E-09        6.34468E-06        7.17868E-06        7.69118E-06        7.99838E-06
                4.69565            3.38861E-09        6.78496E-06        7.67836E-06        8.19308E-06        8.52281E-06
                4.8913             3.32746E-09        7.07848E-06        8.01148E-06        8.52768E-06        8.88853E-06
                5.13587            3.25101E-09        7.44538E-06        8.40296E-06        8.94593E-06        9.34569E-06
                5.28261            3.20515E-09        7.66552E-06        8.63785E-06        9.20779E-06        9.61998E-06
                5.86957            3.02168E-09        8.54608E-06        9.57741E-06       10.2552E-06        10.671E-06  
                6.45652           -7.65592E-09        9.37021E-06       10.5506E-06        11.2598E-06        11.745E-06  
                6.60326          -10.3253E-09         9.57625E-06       10.7939E-06        11.5109E-06        12.0077E-06 
                6.84783          -14.7743E-09         9.91964E-06       11.1994E-06        11.9376E-06        12.4456E-06 
