
                  X              E33_3D5N5F        E33_3D10N5F        E33_3D15N5F        E33_3D20N5F        E33_3D25N5F        E33_3D30N5F        E33_3D35N5F        E33_3D40N5F   

                0.                72.1095E-09       144.219E-09        216.328E-09        288.438E-09        360.547E-09        432.657E-09        504.766E-09        576.876E-09  
              586.956E-03        108.032E-09        216.064E-09        324.097E-09        432.129E-09        540.161E-09        648.193E-09        756.226E-09        864.258E-09  
                1.17391          223.29E-09         446.581E-09        669.871E-09        893.161E-09          1.11645E-06        1.33974E-06        1.56303E-06        1.78632E-06
                1.76087          357.373E-09        714.747E-09          1.07212E-06        1.42949E-06        1.78687E-06        2.14424E-06        2.50161E-06        2.85899E-06
                2.34783          509.853E-09          1.01971E-06        1.52956E-06        2.03941E-06        2.54926E-06        3.05911E-06        3.56897E-06        4.07882E-06
                2.93478          660.497E-09          1.32099E-06        1.98149E-06        2.64199E-06        3.30248E-06        3.96298E-06        4.62348E-06        5.28397E-06
                3.52174          792.918E-09          1.58584E-06        2.37876E-06        3.17167E-06        3.96459E-06        4.75751E-06        5.55043E-06        6.34335E-06
                4.1087           934.244E-09          1.86849E-06        2.80273E-06        3.73698E-06        4.67122E-06        5.60546E-06        6.53971E-06        7.47395E-06
                4.69565            1.06535E-06        2.1307E-06         3.19605E-06        4.2614E-06         5.32676E-06        6.39211E-06        7.45746E-06        8.52281E-06
                5.28261            1.2025E-06         2.40499E-06        3.60749E-06        4.80999E-06        6.01249E-06        7.21498E-06        8.41748E-06        9.61998E-06
                5.86957            1.33388E-06        2.66775E-06        4.00163E-06        5.3355E-06         6.66938E-06        8.00325E-06        9.33713E-06       10.671E-06  
                6.45652            1.46812E-06        2.93624E-06        4.40436E-06        5.87248E-06        7.3406E-06         8.80872E-06       10.2768E-06        11.745E-06  
                7.04348            1.5995E-06         3.19899E-06        4.79849E-06        6.39799E-06        7.99749E-06        9.59698E-06       11.1965E-06        12.796E-06  
                7.63043            1.73175E-06        3.4635E-06         5.19525E-06        6.927E-06          8.65875E-06       10.3905E-06        12.1222E-06        13.854E-06  
                8.21739            1.86308E-06        3.72616E-06        5.58924E-06        7.45233E-06        9.31541E-06       11.1785E-06        13.0416E-06        14.9047E-06 
                8.80435            1.99417E-06        3.98834E-06        5.98251E-06        7.97668E-06        9.97085E-06       11.965E-06         13.9592E-06        15.9534E-06 
                9.3913             2.12547E-06        4.25094E-06        6.37641E-06        8.50189E-06       10.6274E-06        12.7528E-06        14.8783E-06        17.0038E-06 
                9.97826            2.256E-06          4.512E-06          6.768E-06          9.024E-06         11.28E-06          13.536E-06         15.792E-06         18.048E-06  
               10.5652             2.38727E-06        4.77454E-06        7.16181E-06        9.54907E-06       11.9363E-06        14.3236E-06        16.7109E-06        19.0981E-06 
               11.1522             2.51761E-06        5.03521E-06        7.55282E-06       10.0704E-06        12.588E-06         15.1056E-06        17.6232E-06        20.1409E-06 
               11.7391             2.64885E-06        5.29769E-06        7.94654E-06       10.5954E-06        13.2442E-06        15.8931E-06        18.5419E-06        21.1908E-06 
               12.3261             2.7792E-06         5.5584E-06         8.33761E-06       11.1168E-06        13.896E-06         16.6752E-06        19.4544E-06        22.2336E-06 
               12.913              2.91042E-06        5.82084E-06        8.73126E-06       11.6417E-06        14.5521E-06        17.4625E-06        20.3729E-06        23.2834E-06 
               13.5                3.04089E-06        6.08179E-06        9.12268E-06       12.1636E-06        15.2045E-06        18.2454E-06        21.2863E-06        24.3272E-06 
               14.087              3.1721E-06         6.34421E-06        9.51631E-06       12.6884E-06        15.8605E-06        19.0326E-06        22.2047E-06        25.3768E-06 
               14.6739             3.30273E-06        6.60547E-06        9.9082E-06        13.2109E-06        16.5137E-06        19.8164E-06        23.1191E-06        26.4219E-06 
               15.2609             3.43395E-06        6.86791E-06       10.3019E-06        13.7358E-06        17.1698E-06        20.6037E-06        24.0377E-06        27.4716E-06 
               15.8478             3.56474E-06        7.12948E-06       10.6942E-06        14.259E-06         17.8237E-06        21.3884E-06        24.9532E-06        28.5179E-06 
               16.4348             3.69598E-06        7.39196E-06       11.0879E-06        14.7839E-06        18.4799E-06        22.1759E-06        25.8719E-06        29.5679E-06 
               17.0217             3.82691E-06        7.65382E-06       11.4807E-06        15.3076E-06        19.1346E-06        22.9615E-06        26.7884E-06        30.6153E-06 
               17.6087             3.95819E-06        7.91638E-06       11.8746E-06        15.8328E-06        19.7909E-06        23.7491E-06        27.7073E-06        31.6655E-06 
